Index_SSMI,Index_NYA,Index_KS11,Index_N100,Sum of High,Sum of DayOfYear,Sum of Is_Close_Higher_Than_Open,Sum of Month,Sum of Low,Sum of Open,Sum of Volume,Sum of Quarter,Sum of Year
false,false,false,false,14319.431068377233,14469258,46024,515178,14283.540881077352,14305.638319548098,5534.975822869921,198035,158124091
true,false,false,false,-1062.6926620400425,1429524,4127,50917,-1060.9972313538574,-1062.7895703508582,-2199.5946466946343,19593,15702952
false,false,true,false,-4126.281968583722,1123657,3168,40026,-4127.08218807978,-4127.09883037772,-1779.1219341920057,15419,12414617
false,false,false,true,-4152.360205687136,997655,3339,35557,-4151.332388288966,-4152.683901787297,-1367.500098058953,13700,11070006
false,true,false,false,-4978.096232066343,2545702,11886,90699,-4944.129073354746,-4963.0660170322335,-188.7591439243229,34889,27801627
