Year,Quarter,Month,Day,Sum of Is_Close_Higher_Than_Open,Sum of Volume,Sum of Close
1965,Qtr 1,March,19,1,-0.29519114016318015,-0.7192684625035516
1965,Qtr 1,March,22,0,,
1965,Qtr 1,March,23,1,-0.29519114016318015,-0.7201662035358829
1965,Qtr 1,March,24,1,-0.29519114016318015,-0.721358016914311
1965,Qtr 1,March,25,1,-0.29519114016318015,-0.7213558089503566
1965,Qtr 1,March,26,1,-0.29519114016318015,-0.7207232734962984
1965,Qtr 1,March,29,1,-0.29519114016318015,-0.7178358400116163
1965,Qtr 1,March,30,1,-0.29519114016318015,-0.7232722440949586
1965,Qtr 1,March,31,1,-0.29519114016318015,-0.7240523642452508
1965,Qtr 2,April,1,1,-0.29519114016318015,-0.7246283040468798
1965,Qtr 2,April,2,1,-0.29519114016318015,-0.7245184451618614
1965,Qtr 2,April,5,1,-0.29519114016318015,-0.7249756397365356
1965,Qtr 2,April,6,1,-0.29519114016318015,-0.7216532000670209
1965,Qtr 2,April,7,1,-0.29519114016318015,-0.7210328833747386
1965,Qtr 2,April,8,1,-0.29519114016318015,-0.7184650430458346
1965,Qtr 2,April,9,1,-0.29519114016318015,-0.7187480211970105
1965,Qtr 2,April,12,1,-0.29519114016318015,-0.720697752686617
1965,Qtr 2,April,13,1,-0.29519114016318015,-0.7222058270229228
1965,Qtr 2,April,14,1,-0.29519114016318015,-0.7230025954012022
1965,Qtr 2,April,15,1,-0.29519114016318015,-0.7208386864143831
1965,Qtr 2,April,16,1,-0.29519114016318015,-0.7223389987536684
1965,Qtr 2,April,19,1,-0.29519114016318015,-0.7236795077459135
1965,Qtr 2,April,20,1,-0.29519114016318015,-0.724229913088589
1965,Qtr 2,April,21,1,-0.29519114016318015,-0.7254849868481559
1965,Qtr 2,April,22,1,-0.29519114016318015,-0.7227451380597079
1965,Qtr 2,April,23,1,-0.29519114016318015,-0.723993547090565
1965,Qtr 2,April,26,1,-0.29519114016318015,-0.7227817667135822
1965,Qtr 2,April,27,1,-0.29519114016318015,-0.7221314859851655
1965,Qtr 2,April,28,1,-0.29519114016318015,-0.7198033304248533
1965,Qtr 2,April,29,0,,
1965,Qtr 2,April,30,1,-0.29519114016318015,-0.7191841244282146
1965,Qtr 2,May,3,0,,
1965,Qtr 2,May,4,0,,
1965,Qtr 2,May,5,0,,
1965,Qtr 2,May,6,1,-0.29519114016318015,-0.7206411570341879
1965,Qtr 2,May,7,1,-0.29519114016318015,-0.7207388109176722
1965,Qtr 2,May,10,1,-0.29519114016318015,-0.7207532375324328
1965,Qtr 2,May,11,1,-0.29519114016318015,-0.7206012096097457
1965,Qtr 2,May,12,1,-0.29519114016318015,-0.7213447011061636
1965,Qtr 2,May,13,1,-0.29519114016318015,-0.7210461991828859
1965,Qtr 2,May,14,1,-0.29519114016318015,-0.7220882061408838
1965,Qtr 2,May,17,1,-0.29519114016318015,-0.7222513283694614
