Year,Quarter,Month,Day,Sum of Close_Pct_Change,Sum of Low,Sum of Volume,Sum of Quarter
1965,Qtr 1,January,5,-0.9814943315848303,-0.7091746383696369,-0.29519114016318015,1
1965,Qtr 1,January,6,0.004985226556444733,-0.7084744270181903,-0.29519114016318015,1
1965,Qtr 1,January,7,0.008132999534276264,-0.7073263932244791,-0.29519114016318015,1
1965,Qtr 1,January,8,0.009542745108293449,-0.7059684078912966,-0.29519114016318015,1
1965,Qtr 1,January,11,0,,,1
1965,Qtr 1,January,12,0.0016401863384949422,-0.7057327729676413,-0.29519114016318015,1
1965,Qtr 1,January,13,-0.005331611585257079,-0.7064999873067656,-0.29519114016318015,1
1965,Qtr 1,January,14,0.006109182341161201,-0.7056255682543627,-0.29519114016318015,1
1965,Qtr 1,January,15,0,,,1
1965,Qtr 1,January,18,-0.013819267933307566,-0.7076156305606117,-0.29519114016318015,1
1965,Qtr 1,January,19,-0.0010537933623986362,-0.7077652863797627,-0.29519114016318015,1
1965,Qtr 1,January,20,-0.001149267943286958,-0.7079283291496281,-0.29519114016318015,1
1965,Qtr 1,January,21,0.0012451579296499649,-0.7077518858045624,-0.29519114016318015,1
1965,Qtr 1,January,22,-0.006792819344898615,-0.7087156512196336,-0.29519114016318015,1
1965,Qtr 1,January,25,-0.009597160807933824,-0.7100680472750281,-0.29519114016318015,1
1965,Qtr 1,January,26,-0.001336236948077052,-0.7102545376732916,-0.29519114016318015,1
1965,Qtr 1,January,27,0.00814062866159948,-0.7091199181909428,-0.29519114016318015,1
1965,Qtr 1,January,28,-0.008750534760708306,-0.7103494733137486,-0.29519114016318015,1
1965,Qtr 1,January,29,-0.0039527992252142985,-0.7109000288460442,-0.29519114016318015,1
1965,Qtr 1,February,1,0.00045073614510959814,-0.710837497369938,-0.29519114016318015,1
1965,Qtr 1,February,2,-0.003282795027834018,-0.7112931309979386,-0.29519114016318015,1
1965,Qtr 1,February,3,0.0074914462159434425,-0.7102567734290773,-0.29519114016318015,1
1965,Qtr 1,February,4,0.010873093342852469,-0.7087413344921415,-0.29519114016318015,1
1965,Qtr 1,February,5,0.0015773541834627203,-0.7085191001436865,-0.29519114016318015,1
1965,Qtr 1,February,8,-0.0036878355521857697,-0.709039501003579,-0.29519114016318015,1
1965,Qtr 1,February,9,-0.005758858466333838,-0.7098491528240899,-0.29519114016318015,1
1965,Qtr 1,February,10,-0.002452758586500514,-0.7101920061971856,-0.29519114016318015,1
1965,Qtr 1,February,11,0,,,1
1965,Qtr 1,February,12,0.007472274058420325,-0.709150072975022,-0.29519114016318015,1
1965,Qtr 1,February,15,-0.0067093354181049225,-0.7100926127813191,-0.29519114016318015,1
1965,Qtr 1,February,16,-0.001992789115646265,-0.7103706851863609,-0.29519114016318015,1
1965,Qtr 1,February,17,-0.007963090849607446,-0.7114796350206879,-0.29519114016318015,1
1965,Qtr 1,February,18,0.00350024101433255,-0.7109960687399082,-0.29519114016318015,1
1965,Qtr 1,February,19,-0.003270521333646692,-0.7114494802366087,-0.29519114016318015,1
1965,Qtr 1,February,22,-0.01012650441915064,-0.7128487852849612,-0.29519114016318015,1
1965,Qtr 1,February,23,-0.00100421290820496,-0.7129861446706428,-0.29519114016318015,1
1965,Qtr 1,February,24,-0.0036695217554604254,-0.7134875693020326,-0.29519114016318015,1
1965,Qtr 1,February,25,-0.001960474979125104,-0.71375447688766,-0.29519114016318015,1
1965,Qtr 1,February,26,-0.002991686693358142,-0.7141609796147547,-0.29519114016318015,1
1965,Qtr 1,March,1,-0.005432469926181849,-0.7148969214035829,-0.29519114016318015,1
1965,Qtr 1,March,2,-0.0032656497126459794,-0.7153369187005973,-0.29519114016318015,1
1965,Qtr 1,March,3,0.004390628859551882,-0.7147472792089177,-0.29519114016318015,1
1965,Qtr 1,March,4,0.004313625567498258,-0.7141654373901641,-0.29519114016318015,1
1965,Qtr 1,March,5,-0.0027946661821676155,-0.7145440209772894,-0.29519114016318015,1
1965,Qtr 1,March,8,-0.015426105922926037,-0.7166279011577784,-0.29519114016318015,1
1965,Qtr 1,March,9,-0.010537478556104762,-0.7180294281140787,-0.29519114016318015,1
1965,Qtr 1,March,10,-0.004319380673229123,-0.7185978693576317,-0.29519114016318015,1
1965,Qtr 1,March,11,-0.007423220253625962,-0.7195705639480081,-0.29519114016318015,1
1965,Qtr 1,March,12,0.00964253020425998,-0.7183164434305874,-0.29519114016318015,1
1965,Qtr 1,March,15,0.010741079006953314,-0.7169059735628204,-0.29519114016318015,1
