Year,Quarter,Month,Day,Sum of Open,Sum of Close,Sum of High,Sum of Low
1965,Qtr 1,February,9,-0.7109670104955796,-0.7108569544403502,-0.7116995054348798,-0.7098491528240899
1965,Qtr 1,February,10,-0.7113076962978305,-0.7111976390505684,-0.7120381185721154,-0.7101920061971856
1965,Qtr 1,February,12,-0.7102723503349789,-0.7101622967103106,-0.7110090714492558,-0.709150072975022
1965,Qtr 1,February,15,-0.7112089312621618,-0.7110988743604708,-0.7119399544033828,-0.7100926127813191
1965,Qtr 1,February,16,-0.7114852456514302,-0.711375187782937,-0.7122145877505763,-0.7103706851863609
1965,Qtr 1,February,17,-0.712587184537294,-0.7124771228132035,-0.7133098226582801,-0.7114796350206879
1965,Qtr 1,February,18,-0.7121066754356292,-0.711996615392802,-0.7128322368789197,-0.7109960687399082
1965,Qtr 1,February,19,-0.7125572203963174,-0.7124471587770692,-0.7132800408132087,-0.7114494802366087
1965,Qtr 1,February,22,-0.7139476788266583,-0.7138376123423057,-0.7146620399695652,-0.7128487852849612
1965,Qtr 1,February,23,-0.7140841698055428,-0.713974102843619,-0.7147977005643391,-0.7129861446706428
1965,Qtr 1,February,24,-0.7145824243546257,-0.7144723556493485,-0.7152929238313265,-0.7134875693020326
1965,Qtr 1,February,25,-0.7148476445101555,-0.7147375748768937,-0.7155565304399043,-0.71375447688766
1965,Qtr 1,February,26,-0.7152515772655692,-0.7151415062189788,-0.7159580057483533,-0.7141609796147547
1965,Qtr 1,March,1,-0.7159828663191756,-0.7158727927138624,-0.716684845784045,-0.7148969214035829
1965,Qtr 1,March,2,-0.7164200818867756,-0.7163100067516797,-0.7171194014186361,-0.7153369187005973
1965,Qtr 1,March,3,-0.7158341701850826,-0.7157240971000454,-0.7165370542878119,-0.7147472792089177
1965,Qtr 1,March,4,-0.7152560068582489,-0.7151459357961596,-0.7159624083922675,-0.7141654373901641
1965,Qtr 1,March,5,-0.7156321969827157,-0.7155221246043668,-0.7163363098504473,-0.7145440209772894
1965,Qtr 1,March,8,-0.7177029025577389,-0.7175928229341545,-0.7183944176624463,-0.7166279011577784
1965,Qtr 1,March,9,-0.7190955688487897,-0.7189854843523756,-0.7197786112473249,-0.7180294281140787
1965,Qtr 1,March,10,-0.7196604163208848,-0.7195503298481142,-0.7203400222991565,-0.7185978693576317
1965,Qtr 1,March,11,-0.7206269613890444,-0.7205168715344087,-0.7213006870983546,-0.7195705639480081
1965,Qtr 1,March,12,-0.719380769611087,-0.719270684116778,-0.7200620769046121,-0.7183164434305874
1965,Qtr 1,March,15,-0.7179792169470073,-0.7178691363566206,-0.71866905100964,-0.7169059735628204
1965,Qtr 1,March,16,-0.7187859715363649,-0.7186758881232075,-0.7194708974636943,-0.7177178610274408
1965,Qtr 1,March,17,-0.7193874207137962,-0.7192773351962157,-0.7200686875433285,-0.7183231368501065
1965,Qtr 1,March,18,-0.7186228488480036,-0.7185127660055995,-0.7193087671814947,-0.7175537004913586
1965,Qtr 1,March,19,-0.7193785479900872,-0.7192684625035516,-0.7200598687995149,-0.7183142076748017
1965,Qtr 1,March,23,-0.7202762921635545,-0.7201662035358829,-0.720952151275052,-0.7192176636333907
1965,Qtr 1,March,24,-0.7214681097120582,-0.721358016914311,-0.7221367180413947,-0.7204170639721174
1965,Qtr 1,March,25,-0.7214659017403783,-0.7213558089503566,-0.7221345235025776,-0.7204148419524935
1965,Qtr 1,March,26,-0.7208333640731208,-0.7207232734962984,-0.7215058340693384,-0.71977827984337
1965,Qtr 1,March,29,-0.7179459204855011,-0.7178358400116163,-0.7186359571172178,-0.7168724652567386
1965,Qtr 1,March,30,-0.7233823435904593,-0.7232722440949586,-0.7240393060996155,-0.7223434769243673
1965,Qtr 1,March,31,-0.72416246647034,-0.7240523642452508,-0.7248146828662443,-0.7231285632385872
1965,Qtr 2,April,1,-0.7247384082871439,-0.7246283040468798,-0.7253871207669864,-0.7237081694132309
1965,Qtr 2,April,2,-0.7246285490177364,-0.7245184451618614,-0.7252779298596381,-0.72359761117795
1965,Qtr 2,April,5,-0.7250857451921042,-0.7249756397365356,-0.7257323445429383,-0.7240577162058459
1965,Qtr 2,April,6,-0.7217632938975944,-0.7216532000670209,-0.7224301063847489,-0.7207141262301479
1965,Qtr 2,April,7,-0.7211429750348654,-0.7210328833747386,-0.721813561419249,-0.7200898606661696
1965,Qtr 2,April,8,-0.7185751257212591,-0.7184650430458346,-0.7192613343928113,-0.7175056737321837
1965,Qtr 2,April,9,-0.7188581048625566,-0.7187480211970105,-0.7195425919450014,-0.7177904532929067
1965,Qtr 2,April,12,-0.7208078431741437,-0.720697752686617,-0.7214804684344613,-0.7197525965708622
1965,Qtr 2,April,13,-0.7223159227871013,-0.7222058270229228,-0.722979373189431,-0.7212702711519078
1965,Qtr 2,April,14,-0.72311269395322,-0.7230025954012022,-0.7237712969574184,-0.7220721116750065
1965,Qtr 2,April,15,-0.7209487773950276,-0.7208386864143831,-0.7216205452394295,-0.7198944274681153
1965,Qtr 2,April,16,-0.7224490949838059,-0.7223389987536684,-0.7231117351928393,-0.7214042906400727
1965,Qtr 2,April,19,-0.7237896086664026,-0.7236795077459135,-0.7244440934554152,-0.7227533331734646
1965,Qtr 2,April,20,-0.7243400159349097,-0.724229913088589,-0.7249911521550001,-0.7233072423394388
1965,Qtr 2,April,21,-0.7255950940858961,-0.7254849868481559,-0.7262385946588363,-0.7245703057683263
1965,Qtr 2,April,22,-0.7228552357108995,-0.7227451380597079,-0.7235154050401055,-0.7218130153867912
1965,Qtr 2,April,23,-0.7241036491098567,-0.723993547090565,-0.7247562233389452,-0.7230693716599976
1965,Qtr 2,April,26,-0.7228918644929353,-0.7227817667135822,-0.7235518109798782,-0.7218498772148755
1965,Qtr 2,April,27,-0.7222415814892296,-0.7221314859851655,-0.722905484169307,-0.721195456866818
1965,Qtr 2,April,28,-0.7199134177828561,-0.7198033304248533,-0.72059148455029,-0.7188524805097898
1965,Qtr 2,April,30,-0.7192942096196568,-0.7191841244282146,-0.7199760435270437,-0.7182293327120284
1965,Qtr 2,May,6,-0.7207512473236902,-0.7206411570341879,-0.7214242169019643,-0.7196956406363824
1965,Qtr 2,May,7,-0.7208489015488591,-0.7207388109176722,-0.7215212770181484,-0.719793916174356
1965,Qtr 2,May,10,-0.7208633282140974,-0.7207532375324328,-0.7215356159144097,-0.7198084346274491
1965,Qtr 2,May,11,-0.7207112997594748,-0.7206012096097457,-0.7213845123708258,-0.7196554389107814
1965,Qtr 2,May,12,-0.7214547938573198,-0.7213447011061636,-0.7221234831976817,-0.7204036633969172
1965,Qtr 2,May,13,-0.7211562908896039,-0.7210461991828859,-0.7218267962629619,-0.7201032612413699
1965,Qtr 2,May,14,-0.7221983014935146,-0.7220882061408838,-0.7228624674805227,-0.7211519015075386
1965,Qtr 2,May,17,-0.722361424292846,-0.7222513283694614,-0.7230245978730174,-0.7213160621552969
1965,Qtr 2,May,18,-0.7225556219326837,-0.722445525329817,-0.7232176140528369,-0.7215114953533512
1965,Qtr 2,May,19,-0.7232724843210517,-0.7231623852099401,-0.7239301151922672,-0.7222329186890862
1965,Qtr 2,May,20,-0.7232236640331273,-0.7231135650928339,-0.7238815919173152,-0.7221837877881804
1965,Qtr 2,May,21,-0.7230616520442958,-0.7229515536708695,-0.7237205655773692,-0.722020745018315
1965,Qtr 2,May,24,-0.7240670338661709,-0.7239569319749929,-0.7247198308551573,-0.7230325234563993
1965,Qtr 2,May,25,-0.725043576006889,-0.7249334706988672,-0.7256904319067028,-0.7240152787244591
1965,Qtr 2,May,26,-0.7258392228241582,-0.7257291147322308,-0.7264812381661563,-0.7248159877451794
1965,Qtr 2,May,27,-0.7276879881283966,-0.7275778735677852,-0.7283187559480667,-0.7266765155876446
1965,Qtr 2,May,28,-0.7298507938760892,-0.7297406717479911,-0.730468403613507,-0.7288530819166429
1965,Qtr 2,May,31,-0.7281762591432707,-0.7280661428742375,-0.7288040564186921,-0.7271678931658364
1965,Qtr 2,June,1,-0.728592396942923,-0.7284822792178566,-0.7292176625183052,-0.7275866785902385
1965,Qtr 2,June,2,-0.7256616733595884,-0.7255515658888926,-0.7263047688774005,-0.7246373086443278
1965,Qtr 2,June,3,-0.7243233812979913,-0.724213278509874,-0.7249746187199217,-0.7232905018667216
